title,type,description,signedDate,expirationDate,status
Oracle Academy,academic,"Convenio académico con Oracle Academy para la formación de estudiantes en tecnologías Oracle, bases de datos, programación Java y certificaciones profesionales.",15/01/2020,15/01/2025,active
IBM Academic Initiative,academic,"Acuerdo con IBM para el acceso a tecnologías, plataformas cloud, herramientas de desarrollo, inteligencia artificial y ciberseguridad para estudiantes y docentes del programa.",20/03/2019,20/03/2024,active
MATLAB & SIMULINK Campus,academic,"Convenio para proporcionar acceso institucional a MATLAB, Simulink y productos complementarios para la enseñanza, investigación y proyectos académicos de estudiantes y profesores.",12/06/2021,12/06/2026,active
STATA Campus License,academic,"Acuerdo para el uso académico del software estadístico STATA en cursos, investigación y proyectos que requieran análisis estadísticos avanzados.",15/02/2022,15/02/2025,active
Huawei ICT Academy,academic,"Convenio con Huawei para establecer una ICT Academy en el programa, con formación en redes, cloud computing, inteligencia artificial, computación móvil y 5G.",30/09/2020,30/09/2025,active
CISCO Networking Academy,academic,"Implementación de la Academia CISCO para la formación en redes, ciberseguridad, IoT, programación y tecnologías emergentes con certificación internacional.",05/07/2018,05/07/2023,active
Base de Datos Verdes,academic,Acuerdo para promover el desarrollo sostenible y la implementación de tecnologías verdes en bases de datos y sistemas de información a través de formación especializada.,10/03/2022,10/03/2024,active
Coursera for Campus,academic,Convenio con Coursera para proporcionar acceso institucional a su plataforma de cursos online ofrecidos por universidades y compañías líderes a nivel mundial.,15/10/2021,15/10/2024,active
Turnitin Institutional License,academic,Acuerdo para la implementación de Turnitin como herramienta institucional para la verificación de originalidad en trabajos académicos y desarrollo de integridad académica.,22/01/2022,22/01/2025,active
Convenio de Cooperación UPC-MinTIC,government,Alianza estratégica con el Ministerio de Tecnologías de la Información y las Comunicaciones para impulsar proyectos de transformación digital en la región.,30/11/2020,30/11/2023,active
Red Universitaria de Alta Velocidad del Caribe,networking,Membresía en la red universitaria RUAV que conecta instituciones académicas y de investigación del Caribe colombiano a internet académico de alta velocidad.,15/08/2019,15/08/2024,active
Microsoft Imagine Academy,academic,"Convenio educativo con Microsoft para acceso a plataformas, herramientas de desarrollo, sistemas operativos y formación en tecnologías Microsoft para toda la comunidad académica.",12/05/2021,12/05/2024,active
AWS Academy,academic,"Programa académico para incorporar la computación en la nube AWS al curriculum formativo, con recursos educativos, laboratorios prácticos y ruta hacia certificaciones profesionales.",18/04/2022,18/04/2025,active
Red CLARA - Cooperación Latino Americana de Redes Avanzadas,network,Participación en la red latinoamericana que interconecta a instituciones académicas y de investigación con redes académicas internacionales y recursos científicos globales.,30/06/2020,30/06/2025,active
GitHub Education Pack,academic,"Convenio para proporcionar acceso al paquete educativo de GitHub para estudiantes y docentes, con herramientas de desarrollo, hosting, CI/CD y recursos para proyectos académicos.",10/09/2021,10/09/2024,active
VMware Academic Program,academic,"Acuerdo con VMware para la formación en virtualización, cloud computing y tecnologías de centro de datos, con software, recursos educativos y certificaciones para estudiantes.",05/07/2022,05/07/2025,active
UPC - Google Cloud Platform,academic,"Convenio educativo con Google Cloud para proporcionar acceso a servicios cloud, formación en tecnologías Google e implementación de recursos computacionales para investigación.",20/08/2021,20/08/2024,active
CompTIA Academy Partner,academic,"Acuerdo para la formación y certificación en competencias fundamentales de TI como redes, hardware, seguridad y cloud computing a través del programa CompTIA Academy.",15/01/2022,15/01/2025,active
Unity Academic Alliance,academic,"Alianza académica con Unity Technologies para la formación en desarrollo de videojuegos, realidad virtual, realidad aumentada y simulaciones 3D para aplicaciones académicas e industriales.",10/11/2022,10/11/2025,active
Convenio UPC - Colciencias,research,"Alianza con Colciencias (ahora MinCiencias) para el desarrollo de proyectos de investigación, innovación y desarrollo tecnológico con financiación gubernamental.",15/09/2019,15/09/2024,active
Red Nacional Académica de Tecnología Avanzada (RENATA),network,Membresía en la red nacional que conecta instituciones académicas y científicas colombianas entre sí y con redes internacionales para la colaboración en investigación.,12/04/2020,12/04/2025,active
Convenio UPC - SENA Regional Cesar,education,"Acuerdo para articulación académica, uso compartido de infraestructura, formación complementaria y desarrollo de proyectos conjuntos de impacto regional.",15/05/2019,15/05/2024,active
Linux Professional Institute Academic Partner,academic,"Alianza con LPI para la formación y certificación profesional en Linux, administración de sistemas y tecnologías open source para estudiantes y docentes.",22/04/2021,22/04/2024,active
Convenio UPC - Cámara de Comercio de Valledupar,industry,"Acuerdo de cooperación para el desarrollo empresarial, emprendimiento tecnológico, transferencia de conocimiento y prácticas en empresas locales.",30/08/2020,30/08/2023,active
UPC - Proyecto Erasmus+,international,"Participación en el programa Erasmus+ de la Unión Europea para movilidad académica, cooperación internacional y desarrollo de capacidades en educación superior.",28/02/2021,28/02/2027,active
Alianza UPC - IEEE,professional,"Convenio con IEEE para establecer un capítulo estudiantil, acceso a recursos académicos, eventos técnicos y participación en la comunidad profesional internacional.",20/11/2019,20/11/2024,active
NVIDIA Academic Program,academic,"Acuerdo con NVIDIA para acceso a tecnologías de inteligencia artificial, computación paralela, GPU computing y herramientas de desarrollo para investigación y docencia.",08/06/2022,08/06/2025,active
CEDIA - Corporación Ecuatoriana para el Desarrollo de Internet Avanzado,international,"Alianza internacional con CEDIA para la cooperación académica, científica y tecnológica entre Colombia y Ecuador en proyectos de investigación y desarrollo.",15/07/2021,15/07/2024,active
ISACA Academic Partner,academic,"Convenio con ISACA para la formación en gobernanza de TI, auditoría de sistemas, seguridad informática y aseguramiento con proyección hacia certificaciones profesionales.",20/02/2022,20/02/2025,active
UPC - Centro Nacional de Consultoría,research,"Acuerdo para el desarrollo de proyectos de investigación social aplicada, analítica de datos y estudios de impacto regional con metodologías avanzadas.",12/03/2021,12/03/2024,active
SAS Academic Program,academic,"Convenio para acceso académico a software SAS para análisis estadístico, minería de datos, business intelligence y analítica avanzada en docencia e investigación.",18/05/2022,18/05/2025,active
UPC - PMI Educational Foundation,academic,"Alianza con el Project Management Institute para la formación en gestión de proyectos, adopción de estándares internacionales y preparación para certificaciones profesionales.",05/10/2021,05/10/2024,active
